SampleID,Substrate,Time,Temperature,Replicate,Run,collectionPathUri,File,File1,File2,File3
1,b3,1,25,1,1,pacbio_data/00001,m170519_213515_42200_c101184932550000001823275708211740_s1_p0.1.bax.h5,m170519_213515_42200_c101184932550000001823275708211740_s1_p0.2.bax.h5,m170519_213515_42200_c101184932550000001823275708211740_s1_p0.3.bax.h5,m170519_213515_42200_c101184932550000001823275708211740_s1_p0.bas.h5
2,b3,1,25,1,2,pacbio_data/00002,m170520_012924_42200_c101184932550000001823275708211741_s1_p0.1.bax.h5,m170520_012924_42200_c101184932550000001823275708211741_s1_p0.2.bax.h5,m170520_012924_42200_c101184932550000001823275708211741_s1_p0.3.bax.h5,m170520_012924_42200_c101184932550000001823275708211741_s1_p0.bas.h5
3,b3,1,25,1,3,pacbio_data/00003,m170520_052624_42200_c101184932550000001823275708211742_s1_p0.1.bax.h5,m170520_052624_42200_c101184932550000001823275708211742_s1_p0.2.bax.h5,m170520_052624_42200_c101184932550000001823275708211742_s1_p0.3.bax.h5,m170520_052624_42200_c101184932550000001823275708211742_s1_p0.bas.h5
4,b3,1,25,2,1,pacbio_data/00004,m171218_194021_42200_c101418602550000001823309202281880_s1_p0.1.bax.h5,m171218_194021_42200_c101418602550000001823309202281880_s1_p0.2.bax.h5,m171218_194021_42200_c101418602550000001823309202281880_s1_p0.3.bax.h5,m171218_194021_42200_c101418602550000001823309202281880_s1_p0.bas.h5
5,b3,1,25,2,2,pacbio_data/00005,m171218_225957_42200_c101418602550000001823309202281881_s1_p0.1.bax.h5,m171218_225957_42200_c101418602550000001823309202281881_s1_p0.2.bax.h5,m171218_225957_42200_c101418602550000001823309202281881_s1_p0.3.bax.h5,m171218_225957_42200_c101418602550000001823309202281881_s1_p0.bas.h5
6,b3,1,37,1,1,pacbio_data/00006,m170521_063904_42200_c101219832550000001823278510171710_s1_p0.1.bax.h5,m170521_063904_42200_c101219832550000001823278510171710_s1_p0.2.bax.h5,m170521_063904_42200_c101219832550000001823278510171710_s1_p0.3.bax.h5,m170521_063904_42200_c101219832550000001823278510171710_s1_p0.bas.h5
7,b3,1,37,1,2,pacbio_data/00007,m170521_103649_42200_c101219832550000001823278510171711_s1_p0.1.bax.h5,m170521_103649_42200_c101219832550000001823278510171711_s1_p0.2.bax.h5,m170521_103649_42200_c101219832550000001823278510171711_s1_p0.3.bax.h5,m170521_103649_42200_c101219832550000001823278510171711_s1_p0.bas.h5
8,b3,1,37,1,3,pacbio_data/00008,m170521_143257_42200_c101219832550000001823278510171712_s1_p0.1.bax.h5,m170521_143257_42200_c101219832550000001823278510171712_s1_p0.2.bax.h5,m170521_143257_42200_c101219832550000001823278510171712_s1_p0.3.bax.h5,m170521_143257_42200_c101219832550000001823278510171712_s1_p0.bas.h5
9,b3,1,37,2,1,pacbio_data/00009,m171219_090048_42200_c101418602550000001823309202281884_s1_p0.1.bax.h5,m171219_090048_42200_c101418602550000001823309202281884_s1_p0.2.bax.h5,m171219_090048_42200_c101418602550000001823309202281884_s1_p0.3.bax.h5,m171219_090048_42200_c101418602550000001823309202281884_s1_p0.bas.h5
10,b3,1,37,2,2,pacbio_data/00010,m171219_122140_42200_c101418602550000001823309202281885_s1_p0.1.bax.h5,m171219_122140_42200_c101418602550000001823309202281885_s1_p0.2.bax.h5,m171219_122140_42200_c101418602550000001823309202281885_s1_p0.3.bax.h5,m171219_122140_42200_c101418602550000001823309202281885_s1_p0.bas.h5
